financial_year,state,fertilizer_type,sales_current,sales_lag_1,requirement_current,requirement_lag_1,availability_current,availability_lag_1,iffco_production_current,iffco_production_lag_1,iffco_production_available,potential_reporting_break,target_sales
2016-17,Maharashtra,npks,17.12,17.97,21.58,21.0,18.37,19.17,,,False,0,19.71
2016-17,Maharashtra,urea,24.91,23.6,24.56,27.0,25.67,24.01,,,False,0,23.58
2016-17,Manipur,dap,0.0,0.0,0.08,0.08,0.0,0.0,,,False,0,0.0
2016-17,Manipur,mop,0.0,0.0,0.05,0.05,0.0,0.0,,,False,0,0.0
2016-17,Manipur,npks,0.0,0.0,0.0,0.0,0.0,0.0,,,False,0,0.0
2016-17,Manipur,urea,0.17,0.19,0.2,0.33,0.17,0.19,,,False,0,0.21
2016-17,Meghalaya,dap,0.0,0.0,0.0,0.01,0.0,0.0,,,False,0,0.0
2016-17,Meghalaya,mop,0.0,0.0,0.0,0.01,0.0,0.0,,,False,0,0.0
2016-17,Meghalaya,npks,0.0,0.01,0.0,0.0,0.0,0.01,,,False,0,0.0
2016-17,Meghalaya,urea,0.0,0.02,0.0,0.03,0.0,0.02,,,False,0,0.0
2016-17,Mizoram,dap,0.0,0.0,0.03,0.06,0.0,0.0,,,False,0,0.0
2016-17,Mizoram,mop,0.0,0.0,0.02,0.04,0.0,0.0,,,False,0,0.0
2016-17,Mizoram,npks,0.0,0.0,0.0,0.0,0.0,0.0,,,False,0,0.0
2016-17,Mizoram,urea,0.05,0.04,0.05,0.09,0.03,0.04,,,False,0,0.06
2016-17,Nagaland,dap,0.0,0.0,0.01,0.01,0.0,0.0,,,False,0,0.0
2016-17,Nagaland,mop,0.0,0.0,0.01,0.01,0.0,0.0,,,False,0,0.0
2016-17,Nagaland,npks,0.0,0.0,0.01,0.01,0.0,0.0,,,False,0,0.0
2016-17,Nagaland,urea,0.0,0.01,0.02,0.02,0.0,0.01,,,False,0,0.0
2016-17,Odisha,dap,1.65,1.64,2.1,2.4,1.75,1.72,,,False,0,1.73
2016-17,Odisha,mop,0.96,0.89,1.5,1.6,0.96,0.89,,,False,0,1.22
2016-17,Odisha,npks,1.94,2.52,3.75,3.8,2.21,2.67,,,False,0,2.23
2016-17,Odisha,urea,4.93,5.87,6.0,6.6,5.04,6.1,,,False,0,5.26
2016-17,Puducherry,dap,0.02,0.01,0.02,0.02,0.02,0.01,,,False,0,0.01
2016-17,Puducherry,mop,0.02,0.02,0.04,0.03,0.02,0.02,,,False,0,0.01
2016-17,Puducherry,npks,0.06,0.06,0.08,0.12,0.05,0.06,,,False,0,0.05
2016-17,Puducherry,urea,0.11,0.13,0.18,0.22,0.1,0.13,,,False,0,0.11
2016-17,Punjab,dap,7.35,8.1,8.52,9.0,7.45,8.49,,,False,0,6.85
2016-17,Punjab,mop,0.75,0.53,1.05,0.63,0.75,0.61,,,False,0,0.83
2016-17,Punjab,npks,0.39,0.42,0.7,0.35,0.45,0.45,,,False,0,0.32
2016-17,Punjab,urea,26.1,30.86,24.5,26.5,27.11,31.52,,,False,0,28.06
2016-17,Rajasthan,dap,6.45,7.9,4.8,6.75,6.73,8.0,,,False,0,5.37
2016-17,Rajasthan,mop,0.17,0.15,0.23,0.16,0.17,0.15,,,False,0,0.26
2016-17,Rajasthan,npks,0.59,0.68,0.82,0.95,0.66,0.74,,,False,0,0.59
2016-17,Rajasthan,urea,19.95,20.77,17.9,19.25,20.58,20.96,,,False,0,16.8
2016-17,Sikkim,dap,0.0,0.0,0.0,0.0,0.0,0.0,,,False,0,0.0
2016-17,Sikkim,mop,0.0,0.0,0.0,0.0,0.0,0.0,,,False,0,0.0
2016-17,Sikkim,npks,0.0,0.0,0.0,0.0,0.0,0.0,,,False,0,0.0
2016-17,Sikkim,urea,0.0,0.0,0.0,0.0,0.0,0.0,,,False,0,0.0
2016-17,Tamil Nadu,dap,2.53,3.01,3.7,3.5,2.59,3.03,,,False,0,2.44
2016-17,Tamil Nadu,mop,2.63,2.97,4.22,4.0,2.65,3.01,,,False,0,2.96
2016-17,Tamil Nadu,npks,5.3,6.01,6.01,6.5,5.67,6.19,,,False,0,5.35
2016-17,Tamil Nadu,urea,7.94,11.17,8.68,10.5,8.07,11.41,,,False,0,8.81
2016-17,Telangana,dap,2.43,2.12,2.9,3.5,2.56,2.2,,,False,0,2.53
2016-17,Telangana,mop,1.74,1.0,1.7,1.75,1.81,1.06,,,False,0,2.06
2016-17,Telangana,npks,9.64,8.53,9.4,9.5,9.9,8.77,,,False,0,10.17
